2025-09-21 01:00:26 +08:00: [2025-09-20T17:00:26.834Z] [IncrementalBackup] ERROR: 集合备份失败 [dailyCollections] dicttypes_copyl 备份文件未生成
2025-09-21 02:00:44 +08:00: [2025-09-20T18:00:44.103Z] [IncrementalBackup] ERROR: 集合备份失败 [fullBackup] dicttypes_copyl 备份文件未生成
2025-09-22 01:00:26 +08:00: [2025-09-21T17:00:26.856Z] [IncrementalBackup] ERROR: 集合备份失败 [dailyCollections] dicttypes_copyl 备份文件未生成
2025-09-23 01:00:27 +08:00: [2025-09-22T17:00:27.504Z] [IncrementalBackup] ERROR: 集合备份失败 [dailyCollections] dicttypes_copyl 备份文件未生成
2025-09-24 01:00:27 +08:00: [2025-09-23T17:00:27.073Z] [IncrementalBackup] ERROR: 集合备份失败 [dailyCollections] dicttypes_copyl 备份文件未生成
2025-09-25 01:00:45 +08:00: [2025-09-24T17:00:45.424Z] [IncrementalBackup] ERROR: 集合备份最终失败 [dailyCollections] dicttypes_copyl 未找到备份文件: D:\mongobackups\2025-09-25\daily\temp_1758733244982\dcMesCsManage\dicttypes_copyl.bson
2025-09-26 01:00:47 +08:00: [2025-09-25T17:00:47.401Z] [IncrementalBackup] ERROR: 集合备份最终失败 [dailyCollections] dicttypes_copyl 未找到备份文件: D:\mongobackups\2025-09-26\daily\temp_1758819646936\dcMesCsManage\dicttypes_copyl.bson
2025-09-27 01:00:43 +08:00: [2025-09-26T17:00:43.778Z] [IncrementalBackup] ERROR: 集合备份最终失败 [dailyCollections] dicttypes_copyl 未找到备份文件: D:\mongobackups\2025-09-27\daily\temp_1758906042893\dcMesCsManage\dicttypes_copyl.bson
2025-09-28 01:00:42 +08:00: [2025-09-27T17:00:42.902Z] [IncrementalBackup] ERROR: 集合备份最终失败 [dailyCollections] dicttypes_copyl 未找到备份文件: D:\mongobackups\2025-09-28\daily\temp_1758992442637\dcMesCsManage\dicttypes_copyl.bson
2025-09-28 02:00:32 +08:00: [2025-09-27T18:00:32.670Z] [IncrementalBackup] ERROR: 集合备份最终失败 [fullBackup] dicttypes_copyl 未找到备份文件: D:\mongobackups\2025-09-28\full\temp_1758996032474\dcMesCsManage\dicttypes_copyl.bson
2025-09-29 01:00:45 +08:00: [2025-09-28T17:00:45.126Z] [IncrementalBackup] ERROR: 集合备份最终失败 [dailyCollections] dicttypes_copyl 未找到备份文件: D:\mongobackups\2025-09-29\daily\temp_1759078843814\dcMesCsManage\dicttypes_copyl.bson
2025-09-30 01:00:45 +08:00: [2025-09-29T17:00:45.544Z] [IncrementalBackup] ERROR: 集合备份最终失败 [dailyCollections] dicttypes_copyl 未找到备份文件: D:\mongobackups\2025-09-30\daily\temp_1759165244381\dcMesCsManage\dicttypes_copyl.bson
2025-10-01 01:00:45 +08:00: [2025-09-30T17:00:45.706Z] [IncrementalBackup] ERROR: 集合备份最终失败 [dailyCollections] dicttypes_copyl 未找到备份文件: D:\mongobackups\2025-10-01\daily\temp_1759251644429\dcMesCsManage\dicttypes_copyl.bson
2025-10-02 01:00:43 +08:00: [2025-10-01T17:00:43.847Z] [IncrementalBackup] ERROR: 集合备份最终失败 [dailyCollections] dicttypes_copyl 未找到备份文件: D:\mongobackups\2025-10-02\daily\temp_1759338043017\dcMesCsManage\dicttypes_copyl.bson
2025-10-03 01:00:44 +08:00: [2025-10-02T17:00:44.275Z] [IncrementalBackup] ERROR: 集合备份最终失败 [dailyCollections] dicttypes_copyl 未找到备份文件: D:\mongobackups\2025-10-03\daily\temp_1759424443479\dcMesCsManage\dicttypes_copyl.bson
2025-10-04 01:00:45 +08:00: [2025-10-03T17:00:45.850Z] [IncrementalBackup] ERROR: 集合备份最终失败 [dailyCollections] dicttypes_copyl 未找到备份文件: D:\mongobackups\2025-10-04\daily\temp_1759510843824\dcMesCsManage\dicttypes_copyl.bson
2025-10-05 01:00:43 +08:00: [2025-10-04T17:00:43.383Z] [IncrementalBackup] ERROR: 集合备份最终失败 [dailyCollections] dicttypes_copyl 未找到备份文件: D:\mongobackups\2025-10-05\daily\temp_1759597243138\dcMesCsManage\dicttypes_copyl.bson
2025-10-05 02:00:38 +08:00: [2025-10-04T18:00:38.722Z] [IncrementalBackup] ERROR: 集合备份最终失败 [fullBackup] dicttypes_copyl 未找到备份文件: D:\mongobackups\2025-10-05\full\temp_1759600838397\dcMesCsManage\dicttypes_copyl.bson
2025-10-06 01:00:43 +08:00: [2025-10-05T17:00:43.587Z] [IncrementalBackup] ERROR: 集合备份最终失败 [dailyCollections] dicttypes_copyl 未找到备份文件: D:\mongobackups\2025-10-06\daily\temp_1759683643005\dcMesCsManage\dicttypes_copyl.bson
2025-10-07 01:00:45 +08:00: [2025-10-06T17:00:45.583Z] [IncrementalBackup] ERROR: 集合备份最终失败 [dailyCollections] dicttypes_copyl 未找到备份文件: D:\mongobackups\2025-10-07\daily\temp_1759770043314\dcMesCsManage\dicttypes_copyl.bson
2025-10-08 01:00:43 +08:00: [2025-10-07T17:00:43.911Z] [IncrementalBackup] ERROR: 集合备份最终失败 [dailyCollections] dicttypes_copyl 未找到备份文件: D:\mongobackups\2025-10-08\daily\temp_1759856443439\dcMesCsManage\dicttypes_copyl.bson
2025-10-09 01:00:43 +08:00: [2025-10-08T17:00:43.970Z] [IncrementalBackup] ERROR: 集合备份最终失败 [dailyCollections] dicttypes_copyl 未找到备份文件: D:\mongobackups\2025-10-09\daily\temp_1759942843107\dcMesCsManage\dicttypes_copyl.bson
2025-10-10 01:00:43 +08:00: [2025-10-09T17:00:43.282Z] [IncrementalBackup] ERROR: 集合备份最终失败 [dailyCollections] dicttypes_copyl 未找到备份文件: D:\mongobackups\2025-10-10\daily\temp_1760029242269\dcMesCsManage\dicttypes_copyl.bson
2025-10-11 01:00:43 +08:00: [2025-10-10T17:00:43.968Z] [IncrementalBackup] ERROR: 集合备份最终失败 [dailyCollections] dicttypes_copyl 未找到备份文件: D:\mongobackups\2025-10-11\daily\temp_1760115643516\dcMesCsManage\dicttypes_copyl.bson
2025-10-12 01:00:42 +08:00: [2025-10-11T17:00:42.852Z] [IncrementalBackup] ERROR: 集合备份最终失败 [dailyCollections] dicttypes_copyl 未找到备份文件: D:\mongobackups\2025-10-12\daily\temp_1760202042553\dcMesCsManage\dicttypes_copyl.bson
2025-10-12 02:00:35 +08:00: [2025-10-11T18:00:35.713Z] [IncrementalBackup] ERROR: 集合备份最终失败 [fullBackup] dicttypes_copyl 未找到备份文件: D:\mongobackups\2025-10-12\full\temp_1760205635424\dcMesCsManage\dicttypes_copyl.bson
2025-10-13 01:00:43 +08:00: [2025-10-12T17:00:43.529Z] [IncrementalBackup] ERROR: 集合备份最终失败 [dailyCollections] dicttypes_copyl 未找到备份文件: D:\mongobackups\2025-10-13\daily\temp_1760288443025\dcMesCsManage\dicttypes_copyl.bson
2025-10-14 01:00:44 +08:00: [2025-10-13T17:00:44.470Z] [IncrementalBackup] ERROR: 集合备份最终失败 [dailyCollections] dicttypes_copyl 未找到备份文件: D:\mongobackups\2025-10-14\daily\temp_1760374842938\dcMesCsManage\dicttypes_copyl.bson
2025-10-15 01:00:44 +08:00: [2025-10-14T17:00:44.442Z] [IncrementalBackup] ERROR: 集合备份最终失败 [dailyCollections] dicttypes_copyl 未找到备份文件: D:\mongobackups\2025-10-15\daily\temp_1760461243559\dcMesCsManage\dicttypes_copyl.bson
2025-10-16 01:00:43 +08:00: [2025-10-15T17:00:43.560Z] [IncrementalBackup] ERROR: 集合备份最终失败 [dailyCollections] dicttypes_copyl 未找到备份文件: D:\mongobackups\2025-10-16\daily\temp_1760547642605\dcMesCsManage\dicttypes_copyl.bson
